,City,Price range,Average price
1411,Amritsar,"1,774 / sqft","1,774.19 / sqft"
1412,Jamshedpur,"2,303 / sqft","2,303 / sqft"
1413,Kottayam,-,-
1414,Ambala,"4,321 - 16,667 / sqft","10,722.45 / sqft"
1415,Mathura,"2,778 - 93,220 / sqft","13,164.28 / sqft"
1416,Alwar,"5,128 / sqft","5,128.21 / sqft"
1417,Jhansi,-,-
1418,Faridabad,"648 - 57,778 / sqft","26,210.09 / sqft"
1419,Anantapuram,-,-
1420,Sonepat,"1,555 - 8,000 / sqft","4,434.64 / sqft"
1421,Karnal,"1,212 - 4,000 / sqft","2,817.25 / sqft"
1422,Siliguri,"3,438 - 5,000 / sqft","3,979.17 / sqft"
1423,Ooty,-,-
1424,Aligarh,-,-
1425,Thiruvannamalai,-,-
1426,Durgapur,"2,133 - 2,493 / sqft","2,312.91 / sqft"
1427,Panipat,"3,030 - 6,601 / sqft","6,61.61 / sqft"
1428,Raigad,"5,000 - 7,467 / sqft","6,565.8 / sqft"
1429,Wayanad,-,-
1430,Tirunelveli,-,-
1431,Ludhiana,"1,846 - 6,424 / sqft","3,816.04 / sqft"
1432,Ernakulam,-,-
1433,Arambagh,-,-
1434,Salem,"3,333 / sqft","3,333.33 / sqft"
1435,Dindigul,-,-
1436,Warangal,"2,500 / sqft","2,500 / sqft"
1437,Gulbarga,-,-
1438,Tirupati,"3,733 - 14,833 / sqft","7,573.69 / sqft"
1439,Mehsana,-,-
1440,Thrissur,"1,786 - 4,583 / sqft","3,266.19 / sqft"
1441,Satara,"3,158 - 5,645 / sqft","4,401.53 / sqft"
1442,Solapur,-,-
1443,Guntur,"1,513 - 8,727 / sqft","6,195.59 / sqft"
1444,Solan,"4,692 - 7,917 / sqft","6,693.69 / sqft"
1445,Jhajjar,"3,750 - 4,673 / sqft","4,516.65 / sqft"
1446,Bulandshahr,-,-
1447,Ganjam,-,-
1448,Bareilly,-,-
1449,Moradabad,"4,000 - 9,290 / sqft","4,910.59 / sqft"
1450,Almora,-,-
1451,Ratnagiri,"2,395 / sqft","2,395.21 / sqft"
1452,Mandya,"2,100 / sqft","2,100 / sqft"
1453,Hubli Dharwad,"3,853 / sqft","3,853 / sqft"
1454,Krishna,-,-
1455,Valsad,"1,506 - 1,593 / sqft","1,592.92 / sqft"
1456,Patiala,"3,452 / sqft","3,451.73 / sqft"
1457,Rohtak,967 / sqft,966.67 / sqft
1458,Bhavnagar,-,-
1459,Rayagada,-,-
1460,Bharuch,-,-
1461,Dausa,-,-
1462,Rishikesh,-,-
1463,Burdwan,-,-
1464,Udham Singh Nagar,-,-
1465,Shahjahanpur,-,-
1466,Muzaffarnagar,-,-
1467,Hisar,"40,000 / sqft","40,000 / sqft"
1468,Sirsa,-,-
1469,Chikkamagaluru,-,-
1470,Udupi,"3,789 / sqft","3,788.82 / sqft"
1471,Fatehabad,-,-
1472,Sangli,"3,092 / sqft","3,91.98 / sqft"
1473,Raigarh,-,-
1474,Parbhani,-,-
1475,Osmanabad,-,-
1476,Nandurbar,-,-
1477,Nanded,"6,188 / sqft","6,187.5 / sqft"
1478,Kurnool,"3,800 / sqft","3,800 / sqft"
1479,Nellore,-,-
1480,Nizamabad,-,-
